"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AXISBANK","EQ","18-Oct-2019","        710.30","        709.85","        715.70","        705.25","        710.35","        709.55","        710.02","    9500635","          6745625702.20","     104518","    2654760","         27.94"
"AXISBANK","EQ","22-Oct-2019","        709.55","        712.40","        723.00","        703.30","        713.25","        712.75","        715.70","    9704016","          6945189976.35","     173046","    3447622","         35.53"
"AXISBANK","EQ","23-Oct-2019","        712.75","        718.00","        730.00","        710.05","        716.40","        714.85","        719.35","   16158781","         11623881718.65","     265520","    4843437","         29.97"
"AXISBANK","EQ","24-Oct-2019","        714.85","        719.95","        723.00","        701.55","        708.00","        707.70","        710.99","    8986203","          6389112551.00","     151738","    3097932","         34.47"
"AXISBANK","EQ","25-Oct-2019","        707.70","        708.00","        711.00","        695.00","        709.85","        708.60","        702.61","    8226456","          5780012354.40","     119946","    2701413","         32.84"
"AXISBANK","EQ","27-Oct-2019","        708.60","        711.00","        715.05","        708.55","        709.05","        710.10","        711.31","     965772","           686961266.55","      15526","     231217","         23.94"
"AXISBANK","EQ","29-Oct-2019","        710.10","        706.50","        742.90","        704.25","        740.00","        738.45","        726.54","   10422117","          7572102266.05","     169766","    4136900","         39.69"
"AXISBANK","EQ","30-Oct-2019","        738.45","        745.00","        749.90","        735.50","        748.80","        747.40","        744.80","   10188947","          7588715952.55","     119891","    3764919","         36.95"
"AXISBANK","EQ","31-Oct-2019","        747.40","        748.00","        750.00","        732.05","        732.10","        736.35","        740.64","    8775411","          6499436788.50","     119420","    4041522","         46.06"
"AXISBANK","EQ","01-Nov-2019","        736.35","        736.00","        750.00","        728.10","        749.40","        748.30","        743.09","    8484197","          6304535464.20","      89752","    3024892","         35.65"
"AXISBANK","EQ","04-Nov-2019","        748.30","        754.95","        754.95","        735.55","        741.80","        742.60","        743.61","    7851370","          5838326729.05","     114187","    3467964","         44.17"
"AXISBANK","EQ","05-Nov-2019","        742.60","        741.80","        745.60","        730.60","        735.80","        738.05","        737.91","    7306253","          5391338102.50","     168813","    3343045","         45.76"
"AXISBANK","EQ","06-Nov-2019","        738.05","        736.95","        750.90","        728.75","        745.55","        747.25","        741.45","    7821243","          5799038037.50","     119024","    2697901","         34.49"
"AXISBANK","EQ","07-Nov-2019","        747.25","        750.00","        756.00","        732.50","        737.00","        734.75","        741.93","    9871570","          7324036763.60","     148004","    3873191","         39.24"
"AXISBANK","EQ","08-Nov-2019","        734.75","        735.90","        735.90","        722.80","        725.40","        725.50","        730.37","    7427196","          5424604453.10","     114812","    1989495","         26.79"
"AXISBANK","EQ","11-Nov-2019","        725.50","        723.40","        735.50","        721.20","        733.70","        733.70","        729.17","    6355142","          4633974260.65","     122111","    2123672","         33.42"
"AXISBANK","EQ","13-Nov-2019","        733.70","        733.70","        737.40","        707.85","        710.20","        711.20","        723.05","    9290616","          6717543391.05","     259623","    4014256","         43.21"
"AXISBANK","EQ","14-Nov-2019","        711.20","        711.00","        721.80","        707.25","        716.25","        715.90","        714.77","    8000528","          5718510837.80","     127491","    2195183","         27.44"
"AXISBANK","EQ","15-Nov-2019","        715.90","        716.75","        723.50","        710.60","        716.20","        716.90","        716.16","    9315652","          6671525445.60","     116585","    4218488","         45.28"
"AXISBANK","EQ","18-Nov-2019","        716.90","        717.80","        725.50","        712.20","        724.10","        722.95","        718.56","    7907958","          5682328123.00","     146520","    3532088","         44.66"
"AXISBANK","EQ","19-Nov-2019","        722.95","        725.00","        750.20","        725.00","        749.80","        747.80","        739.93","   14424251","         10672982842.55","     204504","    5983016","         41.48"
"AXISBANK","EQ","20-Nov-2019","        747.80","        748.00","        753.85","        741.25","        748.40","        748.75","        748.47","    8798051","          6585093761.30","     150418","    3409332","         38.75"
"AXISBANK","EQ","21-Nov-2019","        748.75","        749.00","        749.00","        734.30","        735.35","        737.40","        739.42","    5529542","          4088675576.80","     131600","    2171241","         39.27"
"AXISBANK","EQ","22-Nov-2019","        737.40","        737.40","        740.00","        727.50","        730.60","        732.10","        732.79","    4889776","          3583179391.10","     135894","    1833749","         37.50"
